codigoActividad;descripcionLeyenda
841001;"Ley N° 453: Puedes acceder a la reclamación cuando tus derechos han sido vulnerados. "
841001;"Ley N° 453: El proveedor debe brindar atención sin discriminación, con respeto, calidez y cordialidad a los usuarios y consumidores."
360000;"Ley N° 453: Tienes derecho a un trato equitativo sin discriminación en la oferta de servicios."
841001;"Ley N° 453: El proveedor de productos debe habilitar medios e instrumentos para efectuar consultas y reclamaciones."
841001;"Ley N° 453: Los contratos de adhesión deben redactarse en términos claros, comprensibles, legibles y deben informar todas las facilidades y limitaciones."
841001;"Ley N° 453: Si se te ha vulnerado algún derecho puedes exigir la reposición o restauración."
841001;"Ley N° 453: Tienes derecho a recibir información que te proteja de la publicidad engañosa."
360000;"Ley N° 453: En caso de incumplimiento a lo ofertado o convenido, el proveedor debe reparar o sustituir el servicio."
360000;"Ley N° 453: El proveedor debe exhibir certificaciones de habilitación o documentos que acrediten las capacidades u ofertas de servicios especializados."
841001;"Ley N° 453: Se debe promover el consumo solidario, justo, en armonía con la Madre Tierra y precautelando el hábitat, en el marco del Vivir Bien."
360000;"Ley N° 453: Tienes derecho a recibir información sobre las características y contenidos de los servicios que utilices."
841001;"Ley N° 453: El proveedor deberá dar cumplimiento a las condiciones ofertadas."
360000;"Ley N° 453: El proveedor de servicios debe habilitar medios e instrumentos para efectuar consultas y reclamaciones."
360000;"Ley N° 453: El proveedor deberá suministrar el servicio en las modalidades y términos ofertados o convenidos."
841001;"Ley N° 453: Están prohibidas las prácticas comerciales abusivas, tienes derecho a denunciarlas."
360000;"Ley N° 453: La interrupción del servicio debe comunicarse con anterioridad a las Autoridades que correspondan y a los usuarios afectados."
360000;"Ley N° 453: Los servicios deben suministrarse en condiciones de inocuidad, calidad y seguridad."
