codigoClasificador;descripcion
123;"CODIGO UNICO DE FACTURACION DIARIA (CUFD) FUERA DE TOLERANCIA"
901;"RECEPCION PENDIENTE"
902;"RECEPCION RECHAZADA"
903;"RECEPCION PROCESADA"
904;"RECEPCION OBSERVADA"
905;"ANULACION CONFIRMADA"
906;"ANULACION RECHAZADA"
907;"REVERSION DE ANULACION CONFIRMADA"
908;"RECEPCION VALIDADA"
909;"REVERSION DE ANULACION RECHAZADA"
910;"EL PARAMETRO AMBIENTE ES INVALIDO"
911;"EL PARAMETRO CODIGO DE SISTEMA ES INVALIDO"
912;"EL SISTEMA NO ESTA ASOCIADO AL CONTRIBUYENTE"
913;"CODIGO UNICO DE INICIO DE SISTEMA (CUIS) INVALIDO"
914;"CODIGO UNICO DE FACTURACION DIARIA (CUFD) INVALIDO"
915;"EL PARAMETRO TIPO FACTURA DOCUMENTO ES INVALIDO"
916;"EL PARAMETRO TIPO DE EMISION ES INVALIDO"
917;"EL PARAMETRO MODALIDAD ES INVALIDO"
918;"EL PARAMETRO SUCURSAL ES INVALIDO"
919;"EL PARAMETRO NIT ES INVALIDO"
920;"EL PARAMETRO ARCHIVO ES INVALIDO"
921;"EL FIRMADO DEL XML ES INCORRECTO"
922;"LA FIRMA DEL XML NO CORRESPONDE AL CONTRIBUYENTE"
923;"EL PARAMETRO CODIGO DE RECEPCION ES INVALIDO"
924;"LA FACTURA O NOTA, NO EXISTE EN LA BASE DE DATOS DEL SIN"
925;"EL PARAMETRO MOTIVO DE ANULACION ES INVALIDO"
926;"COMUNICACION EXITOSA"
927;"EL CERTIFICADO DE LA FIRMA ES INVALIDO"
928;"EL CERTIFICADO SE ENCUENTRA REVOCADO"
929;"EL CODIGO UNICO DE INICIO DE SISTEMA (CUIS) NO ESTA VIGENTE"
930;"EL CODIGO UNICO DE INICIO DE SISTEMA (CUIS) NO CORRESPONDE A LA SUCURSAL/PUNTO VENTA"
931;"EL PARAMETRO CODIGO DOCUMENTO SECTOR ES INVALIDO"
932;"EL PARAMETRO CODIGO DOCUMENTO SECTOR NO CORRESPONDE AL SERVICIO"
933;"EL PUNTO DE VENTA ES INEXISTENTE O INVALIDO"
934;"LA SOLICITUD DE ANULACION DE LA FACTURA O NOTA DE CREDITO-DEBITO SE ENCUENTRA FUERA DE PLAZO"
935;"EL PARAMETRO FECHA DE ENVIO ES INVALIDO"
936;"LA FACTURA O NOTA DE CREDITO-DEBITO YA SE ENCUENTRA ANULADA"
937;"EL NIT NO TIENE ASOCIADO LA MODALIDAD DE FACTURACION"
938;"EL NIT PRESENTA MARCAS DE CONTROL"
939;"LA FACTURA O NOTA DE CREDITO - DEBITO NO CUMPLE CON EL FORMATO DEL XSD ESPECIFICADO"
940;"EL NIT NO TIENE HABILITADO EL DOCUMENTO SECTOR"
941;"LA FACTURA O NOTA DE CREDITO - DEBITO NO SE ENCUENTRA DISPONIBLE PARA SER ANULADA"
942;"EL CODIGO DE RECEPCION DE EVENTO SIGNIFICATIVO NO SE ENCUENTRA EN LA BASE DE DATOS DEL SIN"
943;"EL FORMATO DE LA FECHA DE ENVIO ES INCORRECTO"
944;"EL CODIGO DE RECEPCION NO SE ENCUENTRA EN LA BASE DE DATOS DEL SIN"
945;"EL ESTADO DE RECEPCION DE LA ANULACION ES INCORRECTA"
946;"EL CODIGO UNICO DE FACTURA (CUF) NO EXISTE EN BASE DE DATOS DEL SIN"
947;"EL PARAMETRO TIPO DE PUNTO DE VENTA ES INVALIDO"
948;"EL PARAMETRO NOMBRE DE PUNTO DE VENTA NO PUEDE SER VACIO"
949;"EL PARAMETRO DESCRIPCION DE PUNTO DE VENTA NO PUEDE SER VACIO"
950;"EL PARAMETRO CODIGO DE EVENTO SIGNIFICATIVO NO PUEDE SER VACIO"
951;"EL PARAMETRO DESCRIPCION DE EVENTO SIGNIFICATIVO NO PUEDE SER VACIO"
952;"EL CODIGO UNICO DE FACTURA (CUF) YA SE ENCUENTRA REGISTRADO EN LA BASE DE DATOS DEL SIN"
953;"EL CODIGO UNICO DE FACTURACION DIARIA (CUFD) NO SE ENCUENTRA VIGENTE"
954;"LA CANTIDAD DE FACTURAS EN EL  PAQUETE EMITIDO POR CONTINGENCIA HA EXCEDIO EL MAXIMO PERMITIDO"
955;"NO EXISTE REGISTRO PARA AUTORIZAR EL PROCESO MASIVO"
956;"LA CANTIDAD DE FACTURAS EN EL PAQUETE EMITIDO MASIVAMENTE HA EXCEDIO EL MAXIMO PERMITIDO"
957;"NO EXISTE REGISTRO DE EVENTO SIGNIFICATIVO EN LA BASE DE DATOS DEL SIN"
958;"EL USUARIO NO SE ENCUENTRA AUTORIZADO PARA CONSUMIR ESTE SERVICIO"
959;"EL CODIGO UNICO DE INICIO DE SISTEMA (CUIS) NO SE ENCUENTRA ASOCIADO AL SISTEMA"
960;"EL PARAMETRO FIN DE EVENTO ES REQUERIDO"
961;"EL NIT TIENE MARCA DE DOMICILIO INEXISTENTE"
962;"EL NIT TIENE BLOQUEO DE DOSIFICACION ORIGINADO EN FISCALIZACION"
963;"EL NIT TIENE BLOQUEO DE DOSIFICACION ORIGINADO EN JURIDICA"
964;"EL NIT NO CUMPLE CON OBLIGATORIEDAD DE PRESENTACION DE DDJJ"
965;"EL CONTRIBUYENTE NO CUENTA CON FIRMA VIGENTE REGISTRADA"
