codigoClasificador;descripcion
155;"SAN CRISTÓBAL Y NIEVES"
156;SAMOA
157;"SAN MARINO"
158;"SAN VICENTE Y LAS GRANADINAS"
159;"SANTA LUCÍA"
160;"SANTO TOMÉ Y PRÍNCIPE"
161;SENEGAL
162;SERBIA
163;SEYCHELLES
164;"SIERRA LEONA"
165;SINGAPUR
166;SOMALIA
167;"SRI LANKA"
168;SUDÁFRICA
169;SUDÁN
170;"SUDÁN DEL SUR"
171;SUECIA
172;SUIZA
173;SURINAM
174;SUAZILANDIA
175;TAILANDIA
176;TAYIKISTÁN
177;"TIMOR ORIENTAL"
178;TOGO
179;TOKELAU
180;TONGA
181;"TRINIDAD Y TOBAGO"
182;TURKMENISTÁN
183;TURQUÍA
184;TUVALU
185;TÚNEZ
186;UCRANIA
187;UGANDA
188;URUGUAY
189;UZBEKISTÁN
190;VANUATU
191;"VENEZUELA (REPÚBLICA BOLIVARIANA DE)"
192;VIETNAM
193;YEMEN
194;ZAMBIA
195;ZIMBABUE
196;"REPÚBLICA DE MACEDONIA"
205;"PUERTO RICO"
206;"HONG KONG"
207;FORMOSA
208;"NO ESPECIFICOS"
210;TAIWAN
211;LIECHTENSTEIN
198;"ANTILLAS NEERLANDESAS"
199;ARUBA
200;BERMUDAS
201;"ISLAS CAIMÁN"
202;GROENLANDIA
203;"ISLAS MALVINAS"
204;YUGOSLAVIA
1;AFGANISTÁN
2;ALBANIA
3;ALEMANIA
4;ANDORRA
5;ANGOLA
6;"ANTIGUA Y BARBUDA"
7;"ARABIA SAUDITA"
209;"ISLAS VIRGENES BRITANICAS"
8;ARGELIA
9;ARGENTINA
10;ARMENIA
11;AUSTRALIA
12;AUSTRIA
13;AZERBAIYÁN
14;BAHAMAS
15;BAHREIN
16;BANGLADESH
17;BARBADOS
18;BIELORRUSIA
19;BELICE
20;BENIN
21;BUTÁN
22;"BOLIVIA (ESTADO PLURINACIONAL DE)"
23;"BOSNIA Y HERZEGOVINA"
24;BOTSUANA
25;BRASIL
26;"BRUNEI DARUSSALAM"
27;BULGARIA
28;"BURKINA FASO"
29;BURUNDI
30;BÉLGICA
31;"CABO VERDE"
32;CAMBOYA
33;CAMERÚN
34;CANADÁ
35;CHAD
36;CHEQUIA
37;CHILE
38;CHINA
39;CHIPRE
40;COLOMBIA
41;COMORAS
42;CONGO
43;"COSTA RICA"
44;CROACIA
45;CUBA
46;"COSTA DE MARFIL"
47;DINAMARCA
48;DJIBOUTI
49;DOMINICA
197;"NO REGISTRADO"
50;ECUADOR
51;EGIPTO
52;"EL SALVADOR"
53;"EMIRATOS ÁRABES UNIDOS"
54;ERITREA
55;ESLOVAQUIA
56;ESLOVENIA
57;ESPAÑA
58;"ESTADOS UNIDOS DE AMÉRICA"
59;ESTONIA
60;ETIOPÍA
61;"FEDERACIÓN DE RUSIA"
62;FIYI
63;FILIPINAS
64;FINLANDIA
65;FRANCIA
66;GABÓN
67;GAMBIA
68;GEORGIA
69;GHANA
70;GRANADA
71;GRECIA
72;GUATEMALA
73;GUINEA
74;"GUINEA ECUATORIAL"
75;GUINEA-BISSAU
76;GUYANA
77;HAITÍ
78;HONDURAS
79;HUNGRÍA
80;INDIA
81;INDONESIA
82;IRAQ
83;IRLANDA
84;"IRÁN (REPÚBLICA ISLÁMICA DE)"
85;ISLANDIA
86;"ISLAS COOK"
87;"ISLAS FEROE (MIEMBRO ASOCIADO)"
88;"ISLAS MARSHALL"
89;"ISLAS SALOMÓN"
90;ISRAEL
91;ITALIA
92;JAMAICA
93;JAPÓN
94;JORDANIA
95;KAZAJISTÁN
96;KENIA
97;KIRGUISTÁN
98;KIRIBATI
99;KUWAIT
100;LESOTO
101;LETONIA
102;LIBERIA
103;LIBIA
104;LITUANIA
105;LUXEMBURGO
106;LÍBANO
107;MADAGASCAR
108;MALASIA
109;MALAWI
110;MALDIVAS
111;MALTA
112;MALÍ
113;MARRUECOS
114;MAURICIO
115;MAURITANIA
116;"MICRONESIA (ESTADOS FEDERADOS DE)"
117;MONGOLIA
118;MONTENEGRO
119;MOZAMBIQUE
120;MYANMAR
121;MÉXICO
122;MÓNACO
123;NAMIBIA
124;NAURU
125;NEPAL
126;NICARAGUA
127;NIGERIA
128;NIUE
129;NORUEGA
130;"NUEVA ZELANDA"
131;NÍGER
132;OMÁN
133;PAKISTÁN
134;PALAOS
135;PANAMÁ
136;"PAPUA NUEVA GUINEA"
137;PARAGUAY
138;"PAÍSES BAJOS"
139;PERÚ
140;POLONIA
141;PORTUGAL
142;QATAR
143;"REINO UNIDO"
144;"REPÚBLICA CENTROAFRICANA"
145;"REPÚBLICA DEMOCRÁTICA POPULAR LAO"
146;"REPÚBLICA DEMOCRÁTICA DEL CONGO"
147;"REPÚBLICA DOMINICANA"
148;"REPÚBLICA POPULAR DEMOCRÁTICA DE COREA"
149;"REPÚBLICA UNIDA DE TANZANÍA"
150;"REPÚBLICA DE COREA"
151;"REPÚBLICA DE MOLDAVIA"
152;"REPÚBLICA ÁRABE SIRIA"
153;RUMANIA
154;"REPÚBLICA DE RUANDA"
