codigoClasificador;descripcion
43;"FACTURA COMERCIAL DE EXPORTACIÓN HIDROCARBUROS"
53;"FACTURA IMPORTACION COMERCIALIZACION LUBRICANTES IEHD"
44;"FACTURA IMPORTACION COMERCIALIZACION LUBRICANTES"
51;"FACTURA ENGARRAFADORAS"
40;"FACTURA DE SERVICIOS BÁSICOS ZF"
35;"FACTURA COMPRA VENTA BONIFICACIONES"
41;"FACTURA COMPRA VENTA TASAS"
36;"FACTURA PREVALORADA SDCF"
6;"FACTURA DE SERVICIO TURÍSTICO Y HOSPEDAJE"
8;"FACTURA DE TASA CERO POR VENTA DE LIBROS Y TRANSPORTE INTERNACIONAL DE CARGA"
19;"FACTURA HIDROCARBUROS ALCANZADA IEHD"
42;"FACTURA ALQUILER ZF"
28;"FACTURA COMERCIAL DE EXPORTACIÓN DE SERVICIOS"
45;"FACTURA COMERCIAL DE EXPORTACION PRECIO VENTA"
46;"FACTURA SECTORES EDUCATIVO ZONA FRANCA"
33;"FACTURA TASA CERO BIENES CAPITAL"
47;"NOTA CREDITO DEBITO DESCUENTO"
48;"NOTA CREDITO DEBITO ICE"
49;"FACTURA TELECOMUNICACIONES ZONA FRANCA"
50;"FACTURA DE HOSPITALES/CLÍNICAS ZONA FRANCA"
52;"FACTURA VENTA MINERAL BANCO CENTRAL"
10;"FACTURA DUTTY FREE"
29;"NOTA DE CONCILIACION"
20;"FACTURA COMERCIAL DE EXPORTACIÓN DE MINERALES"
30;"BOLETO AEREO"
31;"FACTURA DE SUMINISTRO"
37;"FACTURA DE COMERCIALIZACIÓN DE GNV"
21;"FACTURA VENTA INTERNA MINERALES"
34;"FACTURA DE SEGUROS"
38;"FACTURA HIDROCARBUROS NO ALCANZADA IEHD"
23;"FACTURA PREVALORADA"
39;"FACTURA COMERCIALIZACION GN y GLP"
1;"FACTURA COMPRA-VENTA"
11;"FACTURA SECTORES EDUCATIVOS"
2;"FACTURA DE ALQUILER DE BIENES INMUEBLES"
12;"FACTURA DE COMERCIALIZACIÓN DE HIDROCARBUROS"
13;"FACTURA DE SERVICIOS BÁSICOS"
14;"FACTURA PRODUCTOS ALCANZADOS POR EL ICE"
15;"FACTURA DE ENTIDADES FINANCIERAS"
16;"FACTURA DE HOTELES"
17;"FACTURA DE HOSPITALES/CLÍNICAS"
18;"FACTURA DE JUEGOS DE AZAR"
3;"FACTURA COMERCIAL DE EXPORTACIÓN"
4;"FACTURA COMERCIAL DE EXPORTACIÓN EN LIBRE CONSIGNACIÓN"
5;"FACTURA DE ZONA FRANCA"
7;"FACTURA DE COMERCIALIZACIÓN DE ALIMENTOS – SEGURIDAD "
22;"FACTURA TELECOMUNICACIONES"
9;"FACTURA DE COMPRA Y VENTA DE MONEDA EXTRANJERA "
24;"NOTA DE CRÉDITO-DÉBITO"
