codigoClasificador;descripcion
299;"DEBITO AUTOMATICO -  VALE"
300;"DEBITO AUTOMATICO -  PAGO POSTERIOR"
301;"DEBITO AUTOMATICO -  TRANSFERENCIA BANCARIA"
302;"DEBITO AUTOMATICO -  DEPOSITO EN CUENTA"
303;"DEBITO AUTOMATICO -  TRANSFERENCIA SWIFT"
304;"DEBITO AUTOMATICO -  GIFT CARD"
305;"DEBITO AUTOMATICO -  CANAL DE PAGO"
306;"DEBITO AUTOMATICO -  BILLETERA MOVIL"
307;"DEBITO AUTOMATICO -  PAGO ONLINE"
308;"DEBITO AUTOMATICO – OTRO"
10;EFECTIVO-TARJETA
11;EFECTIVO-CHEQUE
12;EFECTIVO-VALES
13;"EFECTIVO – TRANSFERENCIA BANCARIA"
14;"EFECTIVO-DEPOSITO EN CUENTA"
15;"EFECTIVO – TRANSFERENCIA BANCARIA SWIFT"
16;TARJETA-CHEQUE
17;TARJETA-VALES
18;"TARJETA-TRANSFERENCIA BANCARIA"
19;"TARJETA-DEPOSITO EN CUENTA"
20;"TARJETA-TRANSFERENCIA SWIFT"
21;"VALES-TRANSFERENCIA BANCARIA"
22;"VALES – DEPOSITO EN CUENTA"
23;"VALES-TRANSFERENCIA SWIFT"
24;"TRANSFERENCIA BANCARIA-DEPOSITO EN CUENTA"
25;"TRANSFERENCIA BANCARIA-TRANSFERENCIA SWIFT"
26;"DEPOSITO EN CUENTA – TRANSFERENCIA SWIFT"
6;"PAGO POSTERIOR"
7;"TRANSFERENCIA BANCARIA"
27;GIFT-CARD
8;"DEPOSITO EN CUENTA"
9;"TRANSFERENCIA SWIFT"
30;"GIFT-CARD OTROS"
31;"CANAL DE PAGO"
32;"BILLETERA MOVIL"
33;"PAGO ONLINE"
34;"EFECTIVO – PAGO POSTERIOR"
35;"EFECTIVO – GIFT CARD"
36;"EFECTIVO – CANAL PAGO"
37;"EFECTIVO – BILLETERA MOVIL"
38;"EFECTIVO – PAGO ONLINE"
39;"TARJETA – PAGO POSTERIOR"
40;"TARJETA – GIFT"
41;"TARJETA – CANAL PAGO"
42;"TARJETA – BILLETERA MOVIL"
43;"TARJETA – PAGO ONLINE"
44;"CHEQUE – VALES"
45;"CHEQUE – PAGO POSTERIOR"
46;"CHEQUE – TRANSFERENCIA BANCARIA"
47;"CHEQUE – DEPOSITO"
48;"CHEQUE – SWIFT"
49;"CHEQUE – GIFT"
50;"CHEQUE – CANAL PAGO"
51;"CHEQUE – BILLETERA"
52;"CHEQUE – PAGO ONLINE"
53;"VALES – GIFT"
54;"VALES – CANAL DE PAGO"
55;"VALES – BILLETERA MOVIL"
56;"VALES – PAGO ONLINE"
