codigoClasificador;descripcion
125;"CHELÍN SOMALÍ"
126;RAND
127;"LIBRA SURSUDANESA"
128;"RUPIA CEILANDESA"
129;"LIBRA SUDANESA"
130;"DÓLAR SURINAMÉS"
131;LILANGENI
132;"CORONA SUECA"
133;"FRANCO SUIZO"
134;"LIBRA SIRIA"
135;"NUEVO DÓLAR DE TAIWÁN"
136;SOMONI
137;"CHELÍN TANZANIANO"
138;BAT
139;PAANGA
140;"DÓLAR TRINITENSE"
141;"DINAR TUNECINO"
142;"LIRA TURCA"
143;"MANAT TURCOMANO"
144;"CHELÍN UGANDÉS"
145;GRIVNA
146;"PESO URUGUAYO"
147;SUM
148;"VATU DO VANUATU"
149;"BOLÍVAR FUERTE"
150;DONG
151;"RIAL YEMENÍ"
152;"KUACHA ZAMBIANO"
153;"DÓLAR ZIMBABUENSE"
3;AFGANI
4;LEK
5;"LIBRA ESTERLINA"
6;DINAR
7;EURO
8;"KUANZA DE ANGOLA"
9;"PESO ARGENTINO"
10;"DRAM ARMENIO"
11;"FLORÍN ARUBANO"
12;"DÓLAR AUSTRALIANO"
13;"MANAT AZERBAYANO"
14;"DÓLAR DE LAS BAHAMAS"
15;"DINAR DE BARÉIN"
16;"TAKA DE BANGLADÉS"
17;"DÓLAR DE LAS BARBADOS"
18;"RUBLO BIELORRUSO"
19;"DÓLAR BELICEÑO"
20;"GULTRUM BUTANÉS"
21;"MARCO CONVERTIBLE DE BOSNIA Y HERZEGOVINA"
22;"PULA DE BOTSUANA"
23;"REAL BRASILEÑO"
24;"DÓLAR DE BRUNEI"
25;"LEVA BÚLGARO"
26;"FRANCO CFA"
27;"KIAT DE BIRMANIA"
28;"FRANCO BURUNDÉS"
29;"RIEL CAMBOYANO"
30;"DÓLAR CANADIENSE"
31;"ESCUDO DE CABO VERDE"
32;"DÓLAR DE LAS ISLAS CAIMÁN"
33;"PESO CHILENO"
34;"YUAN, RENMINBI"
35;"PESO COLOMBIANO"
36;"FRANCO COMORANO"
37;"FRANCO CONGOLEÑO"
38;"COLÓN COSTARRICENSE"
39;"KUNA CROATA"
40;"PESO CUBANO"
41;"FLORÍN DE LAS ANTILLAS NEERLANDESAS"
42;"CORONA CHECA"
43;"CORONA DANESA"
44;"FRANCO YIBUTIANO"
45;"PESO DOMINICANO"
46;"DÓLAR ESTADOUNIDENSE"
47;"LIBRA EGIPCIA"
48;"COLÓN SALVADOREÑO"
49;"NAKFA DE ERITREA"
50;BIR
51;"FRANCO CFP"
52;"DALASI GAMBIANO"
53;"LARI GEORGIANO"
54;"CEDI DE GANA"
55;"LIBRA DE GIBRALTAR"
56;QUETZAL
57;"FRANCO GUINEANO"
58;GURDE
59;LEMPIRA
60;FORINTO
61;"CORONA ISLANDESA"
1;BOLIVIANO
62;"RUPIA INDIA"
2;DOLAR
63;"RUPIA INDONESIA"
64;"RIAL IRANÍ"
65;"DINAR IRAKÍ"
66;"NUEVO SÉQUEL"
67;"DÓLAR JAMAICANO"
68;YEN
69;"DINAR JORDANO"
70;"TENGUE KAZAJO"
71;"CHELÍN KENIANO"
72;"WON NORCOREANO"
73;"WON SURCOREANO"
74;"DINAR KUWAITÍ"
75;"SOM KIRGUÍS"
76;KIP
77;LATS
78;"LIBRA LIBANESA"
79;"LOTI DE LESOTO"
80;"DÓLAR LIBERIANO"
81;"DINAR LIBIO"
82;LITAS
83;"PATACA DE MACAO"
84;DENAR
85;ARIARI
86;"KUACHA DE MALAUI"
87;RINGIT
88;RUFIYA
89;UGUIYA
90;"RUPIA DE MAURICIO"
91;"PESO MEXICANO"
92;"DÓLAR MICRONESIO"
93;"LEU MOLDAVO"
94;"TUGRIK MONGOL"
95;DÍRHAM
96;METICAL
97;"DÓLAR DE NAMIBIA"
98;"DÓLAR NAURUANO"
99;"RUPIA NEPALÍ"
100;"DÓLAR DE NUEVA ZELANDA"
101;"CÓRDOBA NICARAGÜENSE"
102;"NAIRA NIGERIANO"
103;"CORONA NORUEGA"
104;"RIAL DE OMÁN"
105;"RUPIA PAKISTANÍ"
106;"BALBOA PANAMEÑO"
107;KINA
108;"GUARANÍ PARAGUAYO"
109;"NUEVO SOL PERUANO"
110;"PESO FILIPINO"
111;ZLOTI
112;"RIAL CATARÍ"
113;"LEU RUMANO"
114;RUBLO
115;"FRANCO RUANDÉS"
116;"DÓLAR DEL CARIBE ORIENTAL"
117;TALA
118;DOBRA
119;"RIAL SAUDÍ"
120;"DINAR SERBIO"
121;"RUPIA SEYCHELLENSE"
122;LEONA
123;"DÓLAR SINGAPURENSE"
124;"DÓLAR SALOMONENSE"
