codigoClasificador;descripcion
38;MILLARES
39;"MILLON DE UNIDADES"
40;ONZAS
41;PALETAS
42;PAQUETE
43;PAR
44;PIES
45;"PIES CUADRADOS"
108;AMORTIZACION
46;"PIES CUBICOS"
47;PIEZAS
48;PLACAS
49;PLIEGO
70;ROLLO
50;PULGADAS
71;HORAS
51;RESMA
52;TAMBOR
53;"TONELADA CORTA"
54;"TONELADA LARGA"
63;"ONZA TROY"
55;TONELADAS
64;"LIBRA FINA"
56;TUBOS
72;AGUJA
57;"UNIDAD (BIENES)"
73;AMPOLLA
58;"UNIDAD (SERVICIOS)"
74;BIDÓN
59;"US GALON (3,7843 L)"
75;BOLSA
60;YARDA
76;CAPSULA
61;"YARDA CUADRADA"
77;CARTUCHO
62;OTRO
78;COMPRIMIDO
79;ESTUCHE
80;FRASCO
81;JERINGA
82;"MINI BOTELLA"
83;SACHET
84;TABLETA
85;TERMO
86;TUBO
65;DISPLAY
66;BULTO
109;OVULOS
110;SUPOSITORIOS
111;SOBRES
112;VIAL
113;HECTAREAS
114;ARROBA
115;AEROSOL
116;BARRA
117;CONJUNTO
118;FANEGA
119;PACK
122;PASTILLA
120;PIPETA
121;POTE
123;"TONELADA METRICA"
124;EQUIPOS
105;TIRA
104;BLISTER
103;TURRIL
102;BANDEJA
101;YARDA
100;JABA
67;DIAS
99;CARTOLA
68;MESES
98;TETRAPACK
97;VASO
96;POMO
95;"UNIDAD TERMICA BRITANICA (TI)"
94;"MILLONES DE BTU (1000000 BTU)"
93;"MILLONES DE PIES CUBICOS (1000000 PC)"
69;QUINTAL
92;"MILLAR DE PIES CUBICOS (1000 PC)"
91;"MIL PIES CUBICOS 14696 PSI 68FAH"
90;"MIL PIES CUBICOS 14696 PSI"
89;"METRO CUBICO 68F VOL"
88;"BARRIL [42 GALONES(EEUU)]"
87;"BARRIL (EEUU) 60 F"
106;MEGAWATT
107;KILOWATT
125;"PIE TABLAR"
126;KILATES
1;BOBINAS
2;BALDE
3;BARRILES
4;BOLSA
5;BOTELLAS
6;CAJA
7;CARTONES
8;"CENTIMETRO CUADRADO"
9;"CENTIMETRO CUBICO"
10;"CENTIMETRO LINEAL"
11;"CIENTO DE UNIDADES"
12;CILINDRO
13;CONOS
14;DOCENA
15;FARDO
16;"GALON INGLES"
17;GRAMO
18;GRUESA
19;HECTOLITRO
20;HOJA
21;JUEGO
22;KILOGRAMO
23;KILOMETRO
24;"KILOVATIO HORA"
25;KIT
26;LATAS
27;LIBRAS
28;LITRO
29;"MEGAWATT HORA"
30;METRO
31;"METRO CUADRADO"
32;"METRO CUBICO"
33;MILIGRAMOS
34;MILILITRO
35;MILIMETRO
36;"MILIMETRO CUADRADO"
37;"MILIMETRO CUBICO"
